avatar,handle,followers
http://pbs.twimg.com/profile_images/931161479398686721/FI3te2Sw_200x200.jpg,FinancialTimes,6.9M
http://pbs.twimg.com/profile_images/1190503555901394944/T4qowO0X_200x200.jpg,AJEnglish,6.9M
http://pbs.twimg.com/profile_images/1057000825925513216/dfyrdIwd_200x200.jpg,EvaLongoria,6.9M
http://pbs.twimg.com/profile_images/1259775885600833537/xuhSEGZP_200x200.jpg,hardikpandya7,6.9M
http://pbs.twimg.com/profile_images/1388871159450505219/DTCziqsa_200x200.jpg,TXT_bighit,6.9M
http://pbs.twimg.com/profile_images/766652495858896897/LjrJJB9a_200x200.jpg,DonaldJTrumpJr,6.9M
http://pbs.twimg.com/profile_images/878207363269836801/hYvfoMgn_200x200.jpg,ygofficialblink,6.8M
http://pbs.twimg.com/profile_images/1286687023185592320/Q1r6FSus_200x200.jpg,Suriya_offl,6.8M
http://pbs.twimg.com/profile_images/932972987925520385/tUTtlK6x_200x200.jpg,ikamalhaasan,6.8M
http://pbs.twimg.com/profile_images/870589688465182720/RhRnOiGG_200x200.jpg,thetanmay,6.7M
http://pbs.twimg.com/profile_images/1304292122686713857/lrp_AtSy_200x200.jpg,IPL,6.7M
http://pbs.twimg.com/profile_images/1266723524938366976/ft5lwOn-_200x200.jpg,mipaltan,6.6M
http://pbs.twimg.com/profile_images/1325453048114601985/Kc8aXHM9_200x200.jpg,NCTsmtown,6.6M
http://pbs.twimg.com/profile_images/1134740651994537986/5uhwLp-c_200x200.png,HMOIndia,6.6M
http://pbs.twimg.com/profile_images/1084418439337336832/pVRN7APS_200x200.jpg,Siva_Kartikeyan,6.6M
http://pbs.twimg.com/profile_images/1281672145651863553/ctNCE06S_200x200.jpg,PrinceRoyce,6.5M
http://pbs.twimg.com/profile_images/738810295301246977/sJKDqlWh_200x200.jpg,foodandwine,6.5M
http://pbs.twimg.com/profile_images/1266181240085868546/K7gd4abs_200x200.jpg,NeYoCompound,6.5M
http://pbs.twimg.com/profile_images/1392920679096274947/xkBIUE2l_200x200.jpg,LilNasX,6.5M
http://pbs.twimg.com/profile_images/1341701647672623104/Xy5XAFQD_200x200.jpg,AnilKapoor,6.5M
http://pbs.twimg.com/profile_images/378800000836981162/b683f7509ec792c3e481ead332940cdc_200x200.jpeg,StephenKing,6.5M
http://pbs.twimg.com/profile_images/1378760728350355456/dIaJlI-O_200x200.png,EW,6.5M
http://pbs.twimg.com/profile_images/1220018682224693248/Snr6WVIm_200x200.jpg,TheXFactor,6.4M
http://pbs.twimg.com/profile_images/1345940678572871680/O4G62P6K_200x200.jpg,DishPatani,6.4M
http://pbs.twimg.com/profile_images/1283958620359516160/p7zz5dxZ_200x200.jpg,Apple,6.4M
http://pbs.twimg.com/profile_images/1266785421008293892/Qlk-xN3b_200x200.jpg,ytcreators,6.4M
http://pbs.twimg.com/profile_images/1351514043266314240/Y9xiiHWk_200x200.jpg,NHL,6.3M
